14132,22
5741,50
14109,38
16421,95
15290,93
1899,75
14744,4
8368,35
2235,12
22062,55
24314,38
19258,92
23153,96
20396,26
2383,28
23964,12
14747,37
6567,12
15526,36
7817,16
4351,6
20908,88
7385,49
4757,33
21143,84
9741,33
16209,79
13806,72
1525,52
931,56
6952,6
315,90
19515,92
4798,2
21879,80
4715,38
23429,90
6290,24
22384,43
16049,77
10615,68
9079,55
10743,23
5103,66
22293,77
17477,11
22589,15
9505,17
5473,55
4244,22
5086,53
3356,5
21694,69
21067,37
12962,76
8272,33
20973,33
19546,90
16053,97
6161,15
20323,23
10224,5
20019,78
12475,78
7750,32
14090,39
22580,16
14717,81
13266,42
24527,32
12245,34
14818,87
2399,12
15795,83
20254,62
10188,20
2781,62
11189,20
8981,97
21215,15
18430,27
20222,30
9182,95
9160,66
5507,94
23577,72
19069,70
10154,25
15049,61
6002,24
4014,97
44,4
4561,80
7992,35
3823,87
20158,57
8169,42
15237,2
22946,31
19013,6
14735,80
14872,16
10067,82
1047,26
611,15
21712,75
9984,44
7776,49
23766,73
23557,97
2511,77
24427,27
18171,67
5526,76
19466,90
16995,4
1127,11
19240,55
13741,40
844,50
9862,12
12624,58
9535,71
5999,58
14542,79
19728,37
20402,96
22238,93
13269,49
6238,19
9896,82
5357,4
5502,79
12613,95
18822,98
10345,42
48,60
13443,45
10688,13
17575,70
7003,34
20239,2
16093,62
6188,78
1533,41
22821,3
13012,5
14159,64
15957,89
8201,36
3871,27
6728,73
10618,4
4864,96
8828,67
20056,1
8978,70
6454,83
720,42
20893,18
18062,43
10177,83
9464,57
23941,9
13763,11
15553,53
20055,33
22656,25
241,78
3019,75
14721,0
5247,66
22841,48
13775,64
23157,28
21840,51
8489,8
14564,31
13672,5
3499,44
7144,64
13336,5
22967,97
5560,77
16881,6
2371,75
2288,58
22806,83
24300,54
19030,94
10351,8
2675,37
1987,71
10022,36
7926,41
20027,57
15510,90
13528,59
6455,87
20424,95
20121,22
3598,69
7395,92
14889,34
4766,7
818,83
18618,26
16651,40
18644,87
14331,44
23977,28
17172,16
20726,4
20849,1
11537,3
5562,67
1667,43
3766,20
14942,30
11764,6
24700,75
22009,19
20938,2
11537,32
21749,59
12295,26
5775,97
17165,84
15346,29
24763,97
5235,53
24467,84
11639,81
22557,43
22346,21
23151,44
11044,81
462,76
12931,51
12920,49
13732,52
6209,23
11059,29
12778,95
8463,84
10020,6
15693,12
7498,5
18327,5
10458,13
7539,40
13268,50
11264,80
15182,96
15478,69
11276,30
22572,3
21532,77
9852,89
14082,55
11291,56
21355,46
17111,7
691,8
17234,52
14546,13
18024,20
23,88
11827,3
10684,76
8737,48
20742,69
23956,55
16292,97
1670,75
4383,54
20623,73
15020,99
13617,21
2285,66
5883,91
6134,47
5954,93
8040,38
9327,62
903,52
14188,65
4653,15
24024,80
15976,70
15469,66
9983,92
9585,18
22014,59
8469,75
15140,59
2012,11
8452,37
5025,26
12401,80
24499,33
14942,63
4781,74
17344,59
17939,77
17352,62
12235,96
12721,96
13732,40
16335,60
10459,56
3107,50
6889,39
15853,81
5318,59
20323,49
17300,70
15141,45
9825,16
15701,27
13758,0
11331,58
10345,42
3713,53
32,72
20358,63
10542,78
21578,69
13623,29
22134,78
23725,9
10559,38
13149,68
16297,27
10998,72
1279,62
12429,42
9997,53
15753,91
354,60
8139,79
13603,62
10901,44
19289,90
22868,32
19335,65
20193,22
13013,7
4162,93
16551,84
24424,2
23233,41
10372,3
24129,68
3230,46
19412,21
87,7
11751,86
3185,31
21505,50
18367,66
1625,59
2894,17
13138,61
12659,11
15976,54
10005,62
23955,56
18771,76
2642,12
7884,84
5559,28
11298,80
24293,87
5138,88
9788,54
13506,2
10114,44
11698,26
17803,33
11038,85
13906,78
8756,7
3284,10
8044,29
15657,53
23414,49
13307,65
21461,14
8095,90
20611,92
14438,87
24164,28
10976,57
17897,3
7090,31
15906,74
13502,35
21907,92
16864,87
13656,40
10277,11
19329,84
21874,78
10297,76
21190,59
9522,81
15807,62
5607,67
13117,14
7518,81
17881,82
16960,60
14800,19
12552,12
4237,77
1671,56
18181,82
3222,86
11257,95
13968,98
12092,33
3656,17
10556,48
22,18
21682,61
15298,91
20073,44
8562,91
14826,46
12185,15
6611,19
20387,33
1647,4
12998,33
3579,19
1364,0
11943,1
21679,10
13446,66
19728,24
3529,85
10788,21
14580,95
15028,23
19897,58
9309,80
1843,60
1352,61
4247,42
899,89
20608,46
15900,67
6545,32
1503,1
17240,78
10995,76
24423,85
19061,29
19547,80
15188,90
3904,51
11581,69
17729,42
22385,94
19982,97
11597,65
8842,89
17592,47
6168,2
3104,81
14712,71
2292,94
12454,32
13466,72
21674,35
18907,67
16541,91
11724,1
19116,33
13358,35
18612,82
4178,36
18863,96
21883,93
11833,82
2866,55
943,4
17425,71
2986,13
12904,60
19175,74
22923,18
23416,58
21769,50
15491,18
1292,69
780,8
8412,15
14538,62
23172,3
7374,46
20622,41
10003,49
15967,37
20417,48
7095,51
24669,91
16617,50
9044,32
3536,38
24878,99
5726,57
6988,45
680,23
9814,90
275,17
16686,53
141,32
8009,11
19392,35
21120,52
3792,69
11748,93
6538,14
34,11
22401,30
4093,75
7887,19
9689,70
11144,20
2853,53
7884,81
19979,62
6089,0
22259,8
15737,59
22780,36
4546,31
21650,59
20979,4
323,54
15414,93
10204,35
5395,43
16112,10
6445,94
15500,95
11095,8
12388,59
15129,12
19711,83
15184,18
2812,58
18466,57
7488,93
20285,63
22658,15
11066,33
18051,76
17403,23
20527,35
20128,20
11133,87
14540,1
10816,42
8983,25
17212,17
12740,24
7501,61
3409,87
21809,6
10663,94
22460,19
9562,88
3903,45
6086,43
15895,49
7039,57
20562,83
12754,29
2162,95
19443,75
15423,44
15790,47
22715,25
1275,29
13133,33
568,53
22460,55
18590,56
11903,94
10977,4
21183,18
17259,24
21653,19
3310,19
10916,15
14304,89
6100,92
13717,48
6683,20
18662,0
3131,29
16887,91
